,Branch Number,Branch Street Address Street Address1,Branch City Name,Branch State Code,Branch Postal Code Postal Code,Branch Close Date ID,Fulladdress,Latitude,Longitude,is_closed_branch
1,366,901 N STATE RD. 19,PALATKA,FL,32177,6/28/1998,901 N STATE RD. 19 PALATKA FL 32177,29.605307,-81.711871,1
2,695,11901 HIGHWAY 401 SOUTH,LAURINBURG,NC,28352,7/17/1998,11901 HIGHWAY 401 SOUTH LAURINBURG NC 28352,34.796492,-79.444828,1
3,526,1345 OLD GEORGETOWN ROAD,MOUNT PLEASANT,SC,29464,12/8/1998,1345 OLD GEORGETOWN ROAD MOUNT PLEASANT SC 29464,32.8113,-79.851135,1
4,696,224 Kings Road Shelby,SHELBY,NC,28152,11/1/1999,224 Kings Road Shelby NC 28152,35.279323,-81.493713,1
5,529,6945 OAKRIDGE PARKWAY,AUSTELL,GA,30168,12/3/1999,6945 OAKRIDGE PARKWAY AUSTELL GA 30168,33.786477,-84.606441,1
6,325,7982 BAYMEADOWS WAY,JACKSONVILLE,FL,32256,1/1/2000,7982 BAYMEADOWS WAY JACKSONVILLE FL 32256,30.229063,-81.582802,1
7,333,7210 GARDNER STREET,WINTER PARK,FL,32789,1/1/2000,7210 GARDNER STREET WINTER PARK FL 32789,28.587278,-81.293233,1
8,359,7892 BAYMEADOWS WAY,JACKSONVILLE,FL,32256,1/1/2000,7892 BAYMEADOWS WAY JACKSONVILLE FL 32256,30.227087,-81.580944,1
9,423,1521 EAST 9TH,HOPKINSVILLE,KY,42240,1/1/2000,1521 EAST 9TH HOPKINSVILLE KY 42240,36.8546,-87.476333,1
10,523,"1770 CORPORATE DR., SUITE 560",NORCROSS,GA,30093,1/1/2000,"1770 CORPORATE DR., SUITE 560 NORCROSS GA 30093",33.575029,-83.93392,1
11,537,NEW LOCATION - OPENING SOON,MYRTLE BEACH,SC,29572,1/1/2000,NEW LOCATION - OPENING SOON MYRTLE BEACH SC 29572,34.331711,-79.437651,1
12,689,4511 HILLSBOROUGH RD,DURHAM,NC,27705,1/1/2000,4511 HILLSBOROUGH RD DURHAM NC 27705,36.033312,-78.973825,1
13,464,2800-B2 BOB WALLACE AVE.,HUNTSVILLE,AL,35805,1/4/2002,2800-B2 BOB WALLACE AVE. HUNTSVILLE AL 35805,34.711323,-86.603056,1
14,251,ICE DESIGN,KNOXVILLE,TN,37917,10/12/2002,ICE DESIGN KNOXVILLE TN 37917,36.11136,-83.927613,1
15,256,ICE DESIGN,COLUMBIA,SC,29223,10/12/2002,ICE DESIGN COLUMBIA SC 29223,34.099488,-80.924638,1
16,254,ICE DESIGN,JACKSONVILLE,FL,32204,4/12/2003,ICE DESIGN JACKSONVILLE FL 32204,30.32453,-81.726303,1
17,731,BAKER DISTRIBUTING COMPANY,ORANGE,TX,77632,6/26/2003,BAKER DISTRIBUTING COMPANY ORANGE TX 77632,30.862463,-93.764516,1
18,878,BAKER DISTRIBUTING COMPANY,BRENHAM,TX,77833,10/24/2003,BAKER DISTRIBUTING COMPANY BRENHAM TX 77833,30.149783,-96.386825,1
19,864,BAKER DISTRIBUTING COMPANY,SAN ANTONIO,TX,78216,10/25/2003,BAKER DISTRIBUTING COMPANY SAN ANTONIO TX 78216,29.482664,-98.391781,1
20,863,BAKER DISTRIBUTING COMPANY,PASADENA,TX,77506,11/25/2003,BAKER DISTRIBUTING COMPANY PASADENA TX 77506,30.041845,-94.739841,1
21,888,BAKER DISTRIBUTING COMPANY,AMARILLO,TX,79101,12/17/2003,BAKER DISTRIBUTING COMPANY AMARILLO TX 79101,35.183053,-101.782562,1
22,462,1782 BEAUMONT DRIVE,BATON ROUGE,LA,70806,12/21/2004,1782 BEAUMONT DRIVE BATON ROUGE LA 70806,30.466588,-91.108961,1
23,691,CLOSED,WINSTON SALEM,NC,27101,1/1/2005,CLOSED WINSTON SALEM NC 27101,36.094291,-80.239032,1
24,395,14610 BREAKERS DRIVE,JACKSONVILLE,FL,32258,4/30/2005,14610 BREAKERS DRIVE JACKSONVILLE FL 32258,30.156591,-81.560415,1
25,705,709 MIDDLEGROUND BLVD.,NEWPORT NEWS,VA,23606,8/20/2005,709 MIDDLEGROUND BLVD. NEWPORT NEWS VA 23606,37.090263,-76.479579,1
26,16,14610 BREAKERS DRIVE,JACKSONVILLE,FL,32258,10/1/2005,14610 BREAKERS DRIVE JACKSONVILLE FL 32258,30.156591,-81.560415,1
27,756,5128 BROADWAY STREET,GALVESTON,TX,77551,3/4/2006,5128 BROADWAY STREET GALVESTON TX 77551,29.291652,-94.824379,1
28,252,"8110 ANDERSON ROAD, SUITE 106",TAMPA,FL,33634,12/30/2006,"8110 ANDERSON ROAD, SUITE 106 TAMPA FL 33634",28.025462,-82.537572,1
29,445,3912 1ST AVE. & 100 39TH ST.,BIRMINGHAM,AL,35222,5/11/2007,3912 1ST AVE. & 100 39TH ST. BIRMINGHAM AL 35222,33.526855-86.779590,,1
30,253,ICE DESIGN,FORT MYERS,FL,33912,8/18/2007,ICE DESIGN FORT MYERS FL 33912,26.722789,-81.908603,1
31,398,2351 BUTTON GWINNETT DRIVE,ATLANTA,GA,30340,9/6/2007,2351 BUTTON GWINNETT DRIVE ATLANTA GA 30340,33.915295,-84.23861,1
32,552,NEW LOCATION - OPENING SOON,SUMMERVILLE,SC,29483,9/19/2007,NEW LOCATION - OPENING SOON SUMMERVILLE SC 29483,33.013407,-80.20398,1
33,258,3203 LONGHORN BOULEVARD,AUSTIN,TX,78758,10/11/2007,3203 LONGHORN BOULEVARD AUSTIN TX 78758,30.382697,-97.730353,1
34,861,5425 RENWICK DR.,HOUSTON,TX,77081,10/11/2007,5425 RENWICK DR. HOUSTON TX 77081,29.722841,-95.484607,1
35,569,C/O ALL WEATHER,JONESBORO,GA,30238,11/1/2007,C/O ALL WEATHER JONESBORO GA 30238,32.906146,-84.322783,1
36,261,5301 REPUBLIC DRIVE,MEMPHIS,TN,38118,1/1/2008,5301 REPUBLIC DRIVE MEMPHIS TN 38118,35.001379,-89.879745,1
37,714,106 COZZY CIRCLE LOT 7,VICTORIA,TX,77901,1/8/2008,106 COZZY CIRCLE LOT 7 VICTORIA TX 77901,28.831796,-97.00134,1
38,372,1734 5TH STREET WEST,BRADENTON,FL,34205,1/10/2008,1734 5TH STREET WEST BRADENTON FL 34205,27.48409,-82.567168,1
39,750,2500 NORTH FREEWAY,HOUSTON,TX,77009,1/25/2008,2500 NORTH FREEWAY HOUSTON TX 77009,29.797478,-95.371932,1
